deathPlace,NumberOfDeadRiders
Ballagarey Corner,6
Union Mills,6
Ballaugh Bridge,4
Glen Helen,4
Laurel Bank,4
Quarterbridge Road,4
Rhencullen,4
33rd Milestone,3
Bray Hill,3
Glentramman,3
Greeba Castle,3
Kerrowmoar,3
Mountain Box,3
Quarry Bends,3
11th Milestone,2
13th Milestone,2
Appledene,2
Ballacraine,2
Ballacrye Corner,2
Black Dub,2
Gorse Lea,2
Greeba Bridge,2
Hillberry Corner,2
Milntown,2
Stonebreakers Hut,2
Verandah,2
Westwood Corner,2
26th Milestone,1
32nd Milestone,1
Alpine Cottage,1
Ballagarraghyn (Gorse Lea),1
Ballahutchin Hill,1
Ballaquayle Road,1
Ballig,1
Barregarow,1
Barregarrow,1
Bishopscourt,1
Bungalow,1
Churchtown,1
Creg-na-Baa,1
Crosby,1
Doran's Bend,1
Douglas Road Corner,1
East Mountain Gate,1
East Snaefell Mountain Gate,1
Garderner's Lane/Glen Aulydn,1
Glentramman Corner,1
Gob-y-Geay,1
Gooseneck,1
Highlander,1
Kate's Cottage,1
Keppel Gate,1
Mountain Mile,1
Parliament Square,1
Pinfold Cottage (Sky Hill),1
Rhencullen Hill/Bishopscourt,1
Sulby Straight,1
Water Works Corner,1
Waterworks Corner,1
Whitegates,1
