RiderID,RaceName,RaceType,Year,Position,BikeNumber,RiderURL,Rider1,Rider2,Machine,Time,Speed
4307,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,1,1,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4307,John McGuinness,,1000 Honda,46:03.1,128.078
8526,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,2,4,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8526,Cameron DONALD,,1000 Honda,46:17.9,127.78
4310,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,3,5,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=4310,Bruce Anstey,,1000 Honda,47:00.2,126.938
8430,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,4,3,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8430,Guy MARTIN,,1000 Suzuki,47:20.2,126.544
9784,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,5,7,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9784,Gary Johnson,,1000 Honda,47:35.7,126.241
8611,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,6,15,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8611,William Dunlop,,1000 Honda,47:53.8,125.887
9850,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,7,13,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9850,James Hillier,,1000 KAWASAKI,49:01.2,124.589
8379,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,8,6,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8379,Ian Hutchinson,,1000 YAMAHA,49:41.5,123.827
7672,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,9,46,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=7672,Dean Harrison,,1000 BMW,50:11.1,123.272
8649,TT 2012 Dainese Superbike TT Race Results,TT 2012 Dainese Superbike TT Race Results,2012,10,9,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=8649,Michael Dunlop,,1000 Honda,50:18.9,123.127
