RiderID,RaceName,Year,Position,BikeNumber,RiderURL,Rider1,Rider2,Machine,Time,Speed
4307,TT 2012 Dainese Superbike TT Race Results,2012,1,1,/TT-Database/competitors.aspx?ride_id=4307,John McGuinness,,1000 Honda,46:03.1,128.078
8526,TT 2012 Dainese Superbike TT Race Results,2012,2,4,/TT-Database/competitors.aspx?ride_id=8526,Cameron DONALD,,1000 Honda,46:17.9,127.78
4310,TT 2012 Dainese Superbike TT Race Results,2012,3,5,/TT-Database/competitors.aspx?ride_id=4310,Bruce Anstey,,1000 Honda,47:00.2,126.938
8430,TT 2012 Dainese Superbike TT Race Results,2012,4,3,/TT-Database/competitors.aspx?ride_id=8430,Guy MARTIN,,1000 Suzuki,47:20.2,126.544
9784,TT 2012 Dainese Superbike TT Race Results,2012,5,7,/TT-Database/competitors.aspx?ride_id=9784,Gary Johnson,,1000 Honda,47:35.7,126.241
8611,TT 2012 Dainese Superbike TT Race Results,2012,6,15,/TT-Database/competitors.aspx?ride_id=8611,William Dunlop,,1000 Honda,47:53.8,125.887
9850,TT 2012 Dainese Superbike TT Race Results,2012,7,13,/TT-Database/competitors.aspx?ride_id=9850,James Hillier,,1000 KAWASAKI,49:01.2,124.589
8379,TT 2012 Dainese Superbike TT Race Results,2012,8,6,/TT-Database/competitors.aspx?ride_id=8379,Ian Hutchinson,,1000 YAMAHA,49:41.5,123.827
7672,TT 2012 Dainese Superbike TT Race Results,2012,9,46,/TT-Database/competitors.aspx?ride_id=7672,Dean Harrison,,1000 BMW,50:11.1,123.272
8649,TT 2012 Dainese Superbike TT Race Results,2012,10,9,/TT-Database/competitors.aspx?ride_id=8649,Michael Dunlop,,1000 Honda,50:18.9,123.127
9862,TT 2012 Dainese Superbike TT Race Results,2012,11,16,/TT-Database/competitors.aspx?ride_id=9862,Daniel Kneen,,1000 Suzuki,50:22.2,123.067
9863,TT 2012 Dainese Superbike TT Race Results,2012,12,24,/TT-Database/competitors.aspx?ride_id=9863,Steve Mercer,,1000 Honda,50:46.2,122.621
4538,TT 2012 Dainese Superbike TT Race Results,2012,13,11,/TT-Database/competitors.aspx?ride_id=4538,Dan Stewart,,1000 Honda,50:54.4,122.471
9902,TT 2012 Dainese Superbike TT Race Results,2012,14,32,/TT-Database/competitors.aspx?ride_id=9902,David Johnson,,1000 KAWASAKI,51:22.1,121.964
8158,TT 2012 Dainese Superbike TT Race Results,2012,15,20,/TT-Database/competitors.aspx?ride_id=8158,Davy Morgan,,1000 Suzuki,51:46.7,121.515
9789,TT 2012 Dainese Superbike TT Race Results,2012,16,26,/TT-Database/competitors.aspx?ride_id=9789,Ian Mackman,,1000 KAWASAKI,52:32.8,120.686
8450,TT 2012 Dainese Superbike TT Race Results,2012,17,29,/TT-Database/competitors.aspx?ride_id=8450,Stefano BONETTI,,1000 KAWASAKI,53:04.3,120.125
4545,TT 2012 Dainese Superbike TT Race Results,2012,18,28,/TT-Database/competitors.aspx?ride_id=4545,Ian Pattinson,,1000 BMW,53:23.2,119.792
9927,TT 2012 Dainese Superbike TT Race Results,2012,19,38,/TT-Database/competitors.aspx?ride_id=9927,Daniel Cooper,,1000 Honda,53:24.5,119.77
9831,TT 2012 Dainese Superbike TT Race Results,2012,20,60,/TT-Database/competitors.aspx?ride_id=9831,Alessio Corradi,,1000 BMW,53:45.4,119.402
10148,TT 2012 Dainese Superbike TT Race Results,2012,21,86,/TT-Database/competitors.aspx?ride_id=10148,Karl Harris,,1000 Honda,54:28.9,118.646
