riderid,experience
10002,0
10092,0
1052,2
1076,2
1101,2
1132,13
1140,1
1144,2
1153,8
1227,2
1351,6
1352,0
1477,1
1597,2
1647,0
1668,0
1679,0
1691,0
1716,6
1849,4
1939,7
1999,1
2089,14
2093,0
2129,15
2134,5
222,0
2463,8
2474,8
2555,3
2557,1
2566,2
2572,0
2577,2
2597,3
261,0
2630,9
2679,20
2681,4
2729,1
273,1
2733,21
2814,9
2922,0
2941,2
2944,0
2993,2
3047,2
3070,2
3104,1
3154,0
3185,1
3271,0
3276,3
3399,0
3422,9
3444,6
3520,7
3531,3
363,12
3663,1
3704,17
3706,7
3852,8
3861,3
3906,4
3909,1
3927,9
3963,1
4038,1
4063,7
4068,1
4097,5
4099,13
4113,6
4139,5
4269,1
4309,1
4322,5
4347,7
4373,1
4393,0
444,10
4480,10
4484,1
4494,2
4519,4
4531,1
4596,0
4720,16
4800,1
4846,7
4885,1
489,4
4912,0
4935,0
4949,1
4981,1
5070,0
508,5
5326,0
5435,0
5494,0
5506,0
5644,0
5659,0
5686,0
5704,0
5878,0
5910,0
5915,0
5952,0
6020,0
6021,0
6038,0
6081,0
6108,0
6141,0
6191,0
6228,0
6232,0
6292,0
631,3
6386,0
6391,0
6410,0
6473,0
6474,0
649,1
6628,0
6703,0
6718,0
6766,0
6779,0
6853,0
6918,0
6932,0
6969,0
705,1
7183,0
7207,0
7276,0
7383,0
7410,0
7442,0
7485,0
7563,0
758,0
759,4
765,0
7675,0
7779,0
7815,0
7856,0
7894,0
7917,0
7921,0
7954,0
7965,0
7967,0
7996,0
8094,0
8142,0
826,0
8261,1
828,8
8314,0
8459,2
8471,0
8484,0
850,4
8523,0
8631,0
8783,0
884,3
9019,0
9045,0
9125,0
9152,0
921,2
9241,0
9361,0
9433,0
9650,0
9677,0
9717,0
9788,0
987,1
