deathPlace,NumberOfDeadRiders
Union Mills,9
Rhencullen,8
33rd Milestone,7
Alpine Cottage,7
Glen Helen,7
Ballagarey Corner,6
Ballaugh Bridge,6
Glentramman,6
Quarry Bends,6
Appledene,5
32nd Milestone,4
Bray Hill,4
Greeba Castle,4
Hillberry Corner,4
Laurel Bank,4
Quarterbridge Road,4
Stonebreakers Hut,4
Verandah,4
13th Milestone,3
Ballacraine,3
Greeba Bridge,3
Kerrowmoar,3
Kirk Michael,3
Mountain Box,3
11th Milestone,2
Ballacrye Corner,2
Birkin's Bend,2
Bishopscourt,2
Black Dub,2
Doran's Bend,2
Gooseneck,2
Gorse Lea,2
Handley's Corner,2
Milntown,2
Westwood Corner,2
"""Hawthorn",1
26th Milestone,1
27th Milestone,1
Ballagarraghyn (Gorse Lea),1
Ballahutchin Hill,1
Ballaquayle Road,1
Ballaspur,1
Ballig,1
Barregarow,1
Barregarrow,1
Brandywell,1
Bungalow,1
Bungalow Bridge,1
Churchtown,1
Creg-na-Baa,1
Cronk-ny-Mona,1
Cronk-ny-Mona / Signpost Corner,1
Crosby,1
Cruickshanks Corner,1
Douglas Road Corner,1
East Mountain Gate,1
East Snaefell Mountain Gate,1
Garderner's Lane/Glen Aulydn,1
Ginger Hall,1
Glencrutchery Road,1
Glentramman Corner,1
Gob-y-Geay,1
Guthrie's Memorial,1
Highlander,1
Kate's Cottage,1
Keppel Gate,1
Kirk Michael Village,1
Lambfell,1
Lambfell Cottage,1
Mountain Mile,1
Parliament Square,1
Pinfold Cottage,1
Pinfold Cottage (Sky Hill),1
Quarterbridge,1
Rhencullen Hill,1
Rhencullen Hill/Bishopscourt,1
School House Corner,1
Schoolhouse Corner,1
Sulby Bridge,1
Sulby Straight,1
The Nook,1
Water Works Corner,1
Waterworks Corner,1
Whitegates,1
