RiderID,RiderName,TTDatabaseWebpage,UPPERCASERider,Biography,Picture1,Picture2,Picture3,Weight,Height,Website,TTCareerSummaryPosition1,TTCareer Summary Position2,TTCareerSummaryPosition3,TTCareerSummaryPosition4,TTCareerSummaryPosition5,TTCareerSummaryPosition6,TTCareerSummaryPosition7,TTCareerSummaryPosition8,TTCareerSummaryPosition9,TTCareerSummaryPosition10,TTCareerSummaryPosition11,TTCareerSummaryPosition12,TTCareerSummaryPosition13,TTCareerSummaryPosition14,TTCareerSummaryPosition15,TTCareerSummaryPosition16,TTCareerSummaryPosition17,TTCareerSummaryPosition18,TTCareerSummaryPosition19,TTCareerSummaryPosition20,TTCareerSummaryPosition21,TTCareerSummaryPosition22,TTCareerSummaryPosition23,TTCareerSummaryPosition24,TTCareerSummaryPosition25,TTCareerSummaryPosition26,TTCareerSummaryPosition27,TTCareerSummaryPosition28,TTCareerSummaryPosition29,TTCareerSummaryPosition30,TTCareerSummaryPosition31,TTCareerSummaryPosition32,TTCareerSummaryPosition33,TTCareerSummaryPosition34,TTCareerSummaryPosition35,TTCareerSummaryPosition36,TTCareerSummaryPosition37,TTCareerSummaryPosition38,TTCareerSummaryPosition39,TTCareerSummaryPosition40,TTCareerSummaryPosition41,TTCareerSummaryPosition42,TTCareerSummaryPosition43,TTCareerSummaryPosition44,TTCareerSummaryPosition45,TTCareerSummaryPosition46,TTCareerSummaryPosition47,TTCareerSummaryPosition48,TTCareerSummaryPosition49,TTCareerSummaryPosition50,TTCareerSummaryPosition51,TTCareerSummaryPosition52,TTCareerSummaryPosition53,TTCareerSummaryPosition54,TTCareerSummaryPosition55,TTCareerSummaryPosition56,TTCareerSummaryPosition57,TTCareerSummaryPosition58,TTCareerSummaryPosition59,TTCareerSummaryPosition60,TTCareerSummaryPosition61,TTCareerSummaryPosition62,TTCareerSummaryPosition63,TTCareerSummaryPosition64,TTCareerSummaryPosition65,TTCareerSummaryPosition66,TTCareerSummaryPosition67,TTCareerSummaryPosition68,TTCareerSummaryPosition69,TTCareerSummaryPosition70,TTCareerSummaryPosition71,TTCareerSummaryPositionDNF
5509,AKA A.Domini,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=5509&filter=A,N,Sorry - no biography is available for this competitor.,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6016,Ben Abbey,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=6016&filter=A,N,Sorry - no biography is available for this competitor.,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6876,Roger Abbott,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=6876&filter=A,N,Sorry - no biography is available for this competitor.,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,A R Abbott,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=202&filter=A,N,Sorry - no biography is available for this competitor.,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3460,Steve Abbott,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=3460&filter=A,N,"<img class=""floatleft"" src=""/images/cache/7f9c85806140b2ac2930873e8242b052.jpg"" alt=""Photograph"" />        Sorry - no biography is available for this competitor.",http://www.iomtt.com/images/cache/7f9c85806140b2ac2930873e8242b052.jpg,http://www.iomtt.com/images/cache/59d50a4c40728f6d586da4148e9abbdb.jpg,http://www.iomtt.com/images/cache/c0e3a8ec6415234e9fcf45d524e82304.jpg,,,,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9486,Janathan Abel,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9486&filter=A,N,Sorry - no biography is available for this competitor.,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,I J Ablett,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=2400&filter=A,N,Sorry - no biography is available for this competitor.,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2550,L Ablett,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=2550&filter=A,N,Sorry - no biography is available for this competitor.,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6708,Dave Abrahams,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=6708&filter=A,N,Sorry - no biography is available for this competitor.,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9442,Darren Abrahams,http://www.iomtt.com/TT-Database/competitors.aspx?ride_id=9442&filter=A,N,Sorry - no biography is available for this competitor.,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
