RiderID,RiderName,DeathNumber,DeathRiderName,RiderCountry,RiderCountryFlag,DeathDate,DeathYear,DeathPlace,DeathRace,DeathEvent,DeathMachine
1,Charlie R Collier,,,,,,,,,,
10,F Winter,,,,,,,,,,
100,H Scale,,,,,,,,,,
1000,G S Wakefield,,,,,,,,,,
10000,Caoith Lawless,,,,,,,,,,
10001,Ciaran OCallaghan,,,,,,,,,,
10002,Jamie Adam,230,Jamie Adam,Scotland,http://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Flag_of_Scotland.svg/22px-Flag_of_Scotland.svg.png,2010-09-01T00:00:00Z,2010,Alpine Cottage,2010 Manx Grand Prix,Junior,600cc Suzuki GSX-R
10003,Michael Gillan,,,,,,,,,,
10004,Stefan Cook,,,,,,,,,,
10005,Gordon Donaghy,,,,,,,,,,
10006,Neil Brown,,,,,,,,,,
10007,Nigel-Sean Rea,,,,,,,,,,
10008,David Jukes,,,,,,,,,,
10009,Timothee Monot,,,,,,,,,,
1001,H Carter,,,,,,,,,,
10010,Alan Pahor,,,,,,,,,,
10011,Stuart Thomas,,,,,,,,,,
10012,Rudy Ronzoni,,,,,,,,,,
10013,Adrian Kershaw,,,,,,,,,,
10014,Andy Lawson,,,,,,,,,,
10015,Andrew Farrell,,,,,,,,,,
10016,Ross Richards,,,,,,,,,,
10017,Daniel Millard,,,,,,,,,,
10018,Gary Fowler,,,,,,,,,,
10019,Max Faulkner,,,,,,,,,,
1002,Albert E Moule,,,,,,,,,,
10020,Paul Johnson,,,,,,,,,,
10021,Adam Oliver,,,,,,,,,,
10022,Michael Jones,,,,,,,,,,
10023,Dave Edwards,,,,,,,,,,
10024,Yvonne Montgomery,,,,,,,,,,
10025,Michael Sweeney,,,,,,,,,,
10026,Benny Smith,,,,,,,,,,
10027,Paul Walker,,,,,,,,,,
10028,Dave Taylor,,,,,,,,,,
10029,Michael Ellis,,,,,,,,,,
10030,Frank Biggelaar,,,,,,,,,,
10031,Jussi Luoma,,,,,,,,,,
10032,Tim Venables,,,,,,,,,,
10033,Shaun Anderson,,,,,,,,,,
10034,Sebastian Buch,,,,,,,,,,
10035,Jon Kennaugh,,,,,,,,,,
10036,Billy Byrne,,,,,,,,,,
